(('Ptiliogonys', 'MX-MEX'), (1833, 0.013601497686864913))
(('Phaeoptila', 'MX-OAX'), (5903, 0.013597860303994848))
(('Passer', 'US-IL'), (434400, 0.013589037821337706))
(('Melanerpes', 'US-MO'), (275131, 0.013565277338173296))
(('Ortalis', 'MX-NLE'), (3238, 0.013540878548099293))
(('Streptopelia', 'US-MT'), (68395, 0.013502576658195101))
(('Baeolophus', 'US-CT'), (240563, 0.013464461045555346))
(('Columbina', 'MX-BCS'), (10465, 0.013451912681485519))
(('Sialia', 'US-SC'), (153302, 0.013429717287540114))
(('Aphelocoma', 'US-AZ'), (192911, 0.013425331639505819))
(('Eupsittula', 'MX-NAY'), (7619, 0.013417946861193202))
(('Baeolophus', 'US-MD'), (424167, 0.013400672985897666))
(('Sitta', 'US-WI'), (557294, 0.013387759253321807))
(('Larus', 'CA-NL'), (141972, 0.013373370937374741))
(('Phasianus', 'US-SD'), (15094, 0.013366879310880089))
(('Thraupis', 'MX-TAB'), (1217, 0.013365754898238031))
(('Melospiza', 'CA-QC'), (879161, 0.013308511589748738))
(('Cardinalis', 'US-MD'), (681139, 0.013282504920135278))
(('Lagopus', 'CA-NT'), (1805, 0.013281891514320411))
(('Columbina', 'MX-SON'), (9983, 0.013274076706281085))
(('Trogon', 'MX-JAL'), (6278, 0.013233814987036028))
(('Piaya', 'MX-VER'), (10382, 0.0132246748099523))
(('Thraupis', 'MX-CAM'), (1876, 0.013206191818568695))
(('Eudocimus', 'US-LA'), (63812, 0.013185813807918204))
(('Eupsittula', 'MX-YUC'), (6512, 0.01317963527512809))
(('Streptopelia', 'US-WY'), (35925, 0.013167837962555206))
(('Euodice', 'US-HI'), (9657, 0.013150532249677964))
(('Tyrannus', 'US-OK'), (70245, 0.01310293224346001))
(('Phoenicopterus', 'MX-YUC'), (6156, 0.013085727295550933))
(('Buteo', 'US-CO'), (453174, 0.01308467697010091))
(('Myiozetetes', 'MX-GRO'), (1527, 0.013083290514771003))
(('Cardinalis', 'US-OH'), (791329, 0.013079511068106923))
(('Aethia', 'US-AK'), (31286, 0.01306582725232778))
(('Brachyramphus', 'US-AK'), (32064, 0.013058109074397422))
(('Auriparus', 'MX-BCS'), (7685, 0.012970573512782156))
(('Cyanocorax', 'MX-CAM'), (3003, 0.01289484979780693))
(('Pipilo', 'US-TN'), (161294, 0.01288079424988058))
(('Glaucidium', 'MX-YUC'), (6744, 0.012874903214042707))
(('Clangula', 'US-AK'), (37868, 0.01286941943880107))
(('Pitangus', 'MX-COL'), (3274, 0.012848631802221927))
(('Crotophaga', 'MX-COL'), (1770, 0.012841918334708814))
(('Calidris', 'US-DE'), (101395, 0.012832667343146573))
(('Nannopterum', 'US-FL'), (574651, 0.012811550208798761))
(('Euphonia', 'MX-ROO'), (6064, 0.012779032666203168))
(('Xanthocephalus', 'US-ND'), (18180, 0.012774962302172944))
(('Pheugopedius', 'MX-COL'), (1428, 0.012703756455070644))
