Bird,State,Count,Score
Falco,MX-ZAC,147,0.012537
Thryothorus,US-MS,57768,0.012532
Pyrocephalus,MX-OAX,11254,0.012531
Aphelocoma,MX-COA,1112,0.012527
Cardinalis,US-IN,350530,0.012521
Cyanocorax,MX-CAM,3003,0.012521
Callipepla,US-AZ,296630,0.012481
Egretta,MX-CAM,4268,0.012475
Haemorhous,MX-MEX,6564,0.012447
Melospiza,US-VT,223533,0.012446
Aythya,CA-SK,36765,0.012445
Calocitta,MX-GRO,1393,0.012444
Campylorhynchus,MX-VER,19524,0.012432
Quiscalus,MX-TAB,3531,0.012421
Cardellina,MX-MIC,2551,0.012416
Calypte,US-WA,331274,0.012387
Columbina,MX-CAM,3185,0.012377
Dryobates,US-WI,692533,0.012376
Fregata,MX-GRO,1410,0.012375
Dives,MX-VER,18820,0.012366
Toxostoma,MX-TLA,213,0.012352
Coragyps,MX-NAY,17001,0.012343
Leiothrix,US-HI,17965,0.012338
Sturnella,US-ND,33785,0.012329
Baeolophus,US-CT,240563,0.012323
Peucaea,MX-COL,2161,0.012315
Campylorhynchus,MX-QUE,1018,0.012307
Cyanocorax,MX-TAM,2198,0.012289
Corvus,US-WV,120310,0.012270
Junco,US-WA,548378,0.012269
Setophaga,MX-CAM,11412,0.012255
Streptopelia,US-UT,92492,0.012255
Arenaria,US-HI,19248,0.012237
Pyrocephalus,MX-JAL,10689,0.012231
Cyanocitta,US-NH,163229,0.012225
Pipilo,US-NC,295792,0.012223
Sitta,US-MN,329350,0.012221
Ardea,US-SC,241432,0.012220
Melanerpes,US-IN,282027,0.012220
Baeolophus,US-VA,475019,0.012198
Cynanthus,MX-HID,558,0.012180
Melozone,MX-DUR,1633,0.012136
Polioptila,MX-SLP,1088,0.012131
Streptopelia,MX-HID,690,0.012130
Ardea,MX-TAB,3832,0.012123
Cardinalis,US-WV,93312,0.012107
Piranga,MX-OAX,13690,0.012105
Sialia,US-AL,84368,0.012102
Colaptes,US-MT,123216,0.012100
Aphelocoma,MX-TLA,177,0.012084
Coragyps,MX-CHP,14320,0.012032
Toxostoma,MX-GUA,2199,0.012021
Cardellina,MX-MEX,3283,0.011995
Baeolophus,US-MO,209758,0.011973
Calidris,MX-BCS,11527,0.011971
Spizella,US-ND,48522,0.011970
Coragyps,US-FL,538801,0.011962
Chasiempis,US-HI,17400,0.011950
Spatula,MX-TLA,233,0.011893
Cardellina,MX-SIN,3655,0.011866
Streptopelia,MX-CHH,1789,0.011844
Cathartes,MX-NLE,7572,0.011833
Junco,US-OR,448962,0.011829
Drepanis,US-HI,17194,0.011808
Empidonax,MX-MOR,2799,0.011799
Cardinalis,US-MD,681139,0.011773
Ortalis,MX-ROO,10633,0.011762
Anas,US-ND,74444,0.011750
Bucephala,CA-BC,351687,0.011740
Baeolophus,US-AL,100822,0.011734
Larus,US-WA,789623,0.011732
Spizella,MX-ZAC,175,0.011725
Rupornis,MX-CAM,2756,0.011717
Haliaeetus,CA-YT,12517,0.011701
Branta,CA-MB,82013,0.011700
Melanitta,US-AK,64928,0.011695
Campylorhynchus,MX-HID,542,0.011673
Haemorhous,US-UT,161076,0.011666
Amazilia,MX-TAB,1580,0.011657
Pheucticus,MX-TLA,193,0.011644
Icterus,MX-NLE,5554,0.011635
Tyrannus,MX-VER,26828,0.011630
Tringa,CA-NL,21451,0.011617
Mareca,CA-AB,115670,0.011606
Toxostoma,US-AZ,342049,0.011605
Calypte,US-OR,261771,0.011597
Columbina,MX-ROO,11389,0.011595
Quiscalus,MX-COA,2012,0.011570
Columbina,MX-CHP,11788,0.011562
Nannopterum,CA-PE,5620,0.011552
Melanerpes,US-SC,227590,0.011529
Bucephala,US-AK,86505,0.011523
Tyrannus,MX-ZAC,135,0.011514
Myiozetetes,MX-NAY,12527,0.011514
Somateria,CA-NB,19072,0.011505
Baeolophus,US-PA,620147,0.011504
Cardellina,MX-CHP,12400,0.011502
Falco,US-ID,81038,0.011495
Saltator,MX-TAB,1544,0.011485
Falco,MX-BCS,10355,0.011482
Amazona,MX-CAM,2712,0.011478
Sturnella,US-KS,92201,0.011477
Basileuterus,MX-NLE,3648,0.011454
Calypte,CA-BC,254360,0.011445
Larus,US-CT,339172,0.011432
Ortalis,MX-COL,1994,0.011430
Sturnella,US-WY,30812,0.011412
Toxostoma,MX-COA,1222,0.011403
Melanerpes,MX-YUC,25113,0.011387
Sayornis,US-AZ,422574,0.011385
Cassiculus,MX-GRO,1274,0.011371
Anas,CA-BC,668076,0.011367
Leiothlypis,MX-MOR,2704,0.011367
Myiarchus,MX-SON,8003,0.011357
